cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,cmpt_6,cmpt_7,cmpt_8,cmpt_9,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
7.85783587832017e+00,1.01151999559340e+00,1.93835932446732e+00,3.82003045021850e+00,-9.66763944462715e+00,8.93989582443408e+00,9.47564176698629e+00,9.91224323322738e+00,-9.59136792072777e+00,9.78334890045580e+00,-3.24315497224445e+02,-6.90825523731550e+00,1.41694185980261e-144,5.00000000000000e-01,5.00000000000000e-01,5.00000000000000e-01
-8.56481205330408e+00,7.58598283653281e+00,-9.21467579641841e+00,9.59281509561118e+00,9.69801944903345e+00,7.19065984115191e+00,-5.51206125935747e+00,4.25014313254571e+00,-3.83066233252490e+00,-9.85787359465887e+00,-3.16134807561032e+02,-6.90925523731545e+00,5.05529047542369e-141,1.35914091422952e+00,8.35000000000000e-01,3.35000000000000e-01
-5.46030194651917e+00,7.40088034194868e+00,-9.42286334764722e+00,-9.99341589550598e+00,9.03985481840274e+00,-4.26222982551646e+00,6.78823644028465e+00,-1.52379032282896e+00,-9.72529582717119e+00,8.99086125133565e+00,-3.07665023435947e+02,-6.91025523731548e+00,2.40819876325859e-137,5.12779330892467e-01,7.37500000000000e-01,-9.74999999999999e-02
-9.86072494858937e+00,6.33800894639256e+00,-9.32154570809788e+00,8.05864659533056e+00,-9.57300284577905e+00,9.43845119195176e+00,-1.04260109328947e+00,6.53560030268799e+00,1.60605457619337e+00,-8.15376835366388e+00,-3.00603603158419e+02,-6.91125523731546e+00,2.80539420451034e-134,5.90969218182164e-01,7.51666666666667e-01,1.41666666666667e-02
-7.29315558046442e+00,8.74771188076791e+00,9.88325561767932e+00,-7.51390112724023e+00,-9.98978061334281e+00,4.90178592094554e+00,5.16124241509044e+00,7.39592252675516e+00,-4.33405529824012e+00,8.63382651746997e+00,-3.00358557372675e+02,-6.91225523731547e+00,3.58081293414641e-134,8.45886140700900e-01,7.87500000000000e-01,3.58333333333333e-02
-6.19073671095974e+00,-8.36236049745189e+00,9.66662307732043e+00,5.99415298910438e+00,8.86835106462071e+00,7.81961840074705e+00,5.11114929752087e+00,4.48494431484841e+00,7.48297756800486e+00,-9.99454279964477e+00,-2.98962515393452e+02,-6.91325523731548e+00,1.44490956877117e-133,7.54202398559377e-01,7.76000000000000e-01,-1.15000000000000e-02
9.80664267783705e+00,-9.46395060684623e+00,9.32129358397200e+00,-7.26017996511849e+00,3.81856356925745e+00,7.12627190252727e+00,-1.53069107254239e+00,9.71686935699152e+00,-3.61087561112768e+00,-8.62686785434937e+00,-2.96649557716914e+02,-6.91425523731546e+00,1.45851576743198e-132,6.87178510047297e-01,7.66666666666667e-01,-9.33333333333330e-03
-9.66129913166402e+00,-9.99313726680987e+00,-4.22413366819875e+00,-8.64936759846911e+00,-2.14602199417034e+00,8.75051309606235e+00,8.26526534774745e+00,-8.85006933347293e+00,-2.52264835679910e+00,-7.07229787727485e+00,-2.94216754707231e+02,-6.91525523731550e+00,1.65970062160572e-131,6.71187720625085e-01,7.64285714285714e-01,-2.38095238095248e-03
5.03377606873134e+00,6.87586283302561e+00,-3.20574796767034e+00,8.09370380400626e+00,-9.96839281545405e+00,4.57690378675925e+00,9.92098271014782e+00,9.65793907988623e+00,9.62596545489796e+00,-3.89308587604141e+00,-2.93306970270002e+02,-6.91625523731543e+00,4.11822265102799e-131,6.59481696037567e-01,7.62500000000000e-01,-1.78571428571428e-03
3.39062257838461e+00,9.26397933939895e-01,9.08771312653863e+00,9.27457519264947e+00,-8.50829523103064e+00,7.27643720374076e+00,9.94397104619323e+00,6.73662469375718e+00,5.06511233478107e+00,-9.30309822965695e+00,-2.90571439156563e+02,-6.91725523731554e+00,6.34310055444813e-130,6.65175479063100e-01,7.63333333333333e-01,8.33333333333353e-04
-9.99932594831092e+00,-6.95164873327381e+00,-5.11917831587192e-01,8.66877384767111e+00,-9.76084364640241e+00,-9.28584379303254e+00,-7.92969385396169e+00,9.07641179811693e+00,9.79041889551453e-01,3.20078678888182e+00,-2.90033114273234e+02,-6.91825523731545e+00,1.08557248705848e-129,6.90202167327507e-01,7.67000000000000e-01,3.66666666666671e-03
8.09015542274905e+00,-4.72758416085355e+00,9.75085065374332e+00,-6.87243537258230e+00,-9.56055947611705e+00,8.01488298690527e-01,-7.46802669115160e+00,6.36000407280064e+00,-8.89230875035759e+00,-7.98049892598972e+00,-2.89759083655648e+02,-6.91925523731542e+00,1.42637762809294e-129,5.93132721234417e-01,7.51818181818182e-01,-1.51818181818182e-02
4.87320529676441e+00,-9.78838791351207e+00,-1.18153919058225e+00,8.72825043095600e+00,-9.82698936030951e+00,-2.24035728315651e+00,-5.48092060413710e+00,7.34870285687691e+00,9.53651513405701e+00,-9.12943596523518e+00,-2.87721197921808e+02,-6.92025523731549e+00,1.09356034425317e-128,6.54691873175048e-01,7.61666666666667e-01,9.84848484848488e-03
7.57809379972425e+00,-6.51351461608676e+00,6.61790592559730e+00,-3.18698411038300e+00,9.82580898702654e+00,5.84204884304098e+00,-9.50243657318337e+00,8.26747493959345e+00,-9.42236663090514e+00,-4.70944879074354e+00,-2.86234547990984e+02,-6.92125523731546e+00,4.83117000281739e-128,7.03612951568383e-01,7.68846153846154e-01,7.17948717948713e-03
7.65135617948666e+00,-9.60985391248864e+00,-4.91572238123892e+00,-6.23324737662715e+00,-6.00846720319772e+00,9.57658341432946e+00,9.02513706063043e+00,7.50340177134186e+00,8.36010402923487e+00,1.10215628693539e+00,-2.84480933317183e+02,-6.92225523731547e+00,2.78742507010688e-127,6.96875078657176e-01,7.67857142857143e-01,-9.89010989010941e-04
