cmpt_0,cmpt_1,cmpt_2,cmpt_3,cmpt_4,cmpt_5,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.77188331060000e+00,-4.95000096542408e+00,4.34327892591076e+00,4.95485926237381e+00,2.18447197673177e-02,4.71675636111229e+00,-6.19818060896746e+01,-6.90825523731550e+00,1.20621995167376e-30,5.00000000000000e-01,8.00000000000000e-01,8.00000000000000e-01
4.36086524314847e+00,-4.87733381555146e+00,-4.47428621799407e+00,-4.38753320922982e+00,-3.20446741371680e+00,-3.60353325760368e+00,-5.81782706878386e+01,-6.90925523731545e+00,5.40563415494546e-29,1.35914091422952e+00,9.30000000000000e-01,1.30000000000000e-01
4.89335361207863e+00,1.17949336215613e+00,3.32066865510509e+00,4.99099369674770e+00,4.76780968943361e+00,4.46087346296427e+00,-5.74658181205110e+01,-6.91025523731548e+00,1.10109952197885e-28,5.00000000000000e-01,9.00000000000000e-01,-3.00000000000000e-02
4.68264917107058e+00,4.59912969435606e+00,2.61752849111993e+00,-4.39619924864212e+00,-3.63848280016443e+00,-4.56675017808321e+00,-5.71891235540687e+01,-6.91125523731546e+00,1.45063851176815e-28,1.35914091422952e+00,9.20000000000000e-01,2.00000000000000e-02
-4.74004264517973e+00,-2.21473134586847e+00,-3.27066896500886e+00,-4.83596758496089e+00,-4.77570529958499e+00,4.30837599732950e+00,-5.69268122042043e+01,-6.91225523731547e+00,1.88384549226015e-28,5.00000000000000e-01,8.15000000000000e-01,-1.05000000000000e-01
-4.13263999713782e+00,-4.70168997374455e+00,4.99647306868091e+00,3.99512118752329e+00,-2.70164807768414e+00,3.68305020959324e+00,-5.60006809789219e+01,-6.91325523731548e+00,4.75143362166031e-28,1.35914091422952e+00,8.32000000000000e-01,1.70000000000000e-02
4.27037877626862e+00,-4.95531142896899e+00,-1.74875790892745e+00,3.42082423619923e+00,4.80043164318863e+00,-4.24853618917674e+00,-5.48364525165758e+01,-6.91425523731546e+00,1.52057683100071e-27,2.57029193568274e+00,8.38333333333333e-01,6.33333333333341e-03
-4.58721513647720e+00,-4.45834671854598e+00,4.91566355675527e+00,-3.84359191946041e+00,-3.91436683625718e+00,1.72808787886577e+00,-5.45960815275607e+01,-6.91525523731550e+00,1.93181648836967e-27,9.45557560946431e-01,7.91428571428571e-01,-4.69047619047619e-02
-2.44990814064297e+00,4.30632859888230e+00,-4.96724575160857e+00,-2.11596944254790e+00,4.29680913229684e+00,-4.96994347412424e+00,-5.39437710923949e+01,-6.91625523731543e+00,3.70532576674181e-27,2.52511686102288e+00,8.01250000000000e-01,9.82142857142854e-03
3.75872996999659e+00,4.14350234020036e+00,-4.70404159472186e+00,3.73545785630886e+00,3.45976985503318e+00,-4.09994617184269e+00,-5.35925719025666e+01,-6.91725523731554e+00,5.25915501840850e-27,1.78397299873516e+00,7.97777777777778e-01,-3.47222222222221e-03
3.42134632503824e+00,4.76029415457413e+00,-3.05890917996622e+00,4.13973180477239e+00,-4.68833864789809e+00,-3.63051195352103e+00,-5.35243573071425e+01,-6.91825523731545e+00,5.62479760652699e-27,1.35062185675940e+00,7.95000000000000e-01,-2.77777777777777e-03
-3.07450940451619e+00,-3.21701959164263e-01,-4.85758122609164e+00,-4.84819371392330e+00,4.30826006590065e+00,4.48091177569726e+00,-5.31620577067044e+01,-6.91925523731542e+00,8.07267229457159e-27,8.96340533077949e-01,7.90909090909091e-01,-4.09090909090915e-03
