cmpt_0,cmpt_1,logl,logl2,logv,weight,stepsize,acceptrate,acceptrate_deriv
4.9969701711622726e+01,4.6765060191341490e+01,-3.0555904152493522e+01,-7.1457691530566994e+00,-6.2156079317555371e+00,1.0723466776040908e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
4.6515724436067018e+01,-4.9751346124413168e+01,-3.0330739738268221e+01,-7.1457691530566994e+00,-6.2176079317555306e+00,1.3404613126385877e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.8985999376494860e+01,4.6603958350770633e+01,-2.9993979777623395e+01,-7.1457691530566994e+00,-6.2196079317555304e+00,1.8734352515990929e-16,6.7244351168521433e+01,9.9009900990099009e-01,4.9009900990099009e-01
-4.5890463598973959e+01,-4.9269728952494631e+01,-2.9803398635157009e+01,-7.1457691530566994e+00,-6.2216079317555382e+00,2.2622387515397495e-16,5.6114165008079091e+00,7.4172185430463577e-01,-2.4837715559635432e-01
4.6883777635700319e+01,-4.7344690981984670e+01,-2.9334236281118869e+01,-7.1457691530566994e+00,-6.2236079317555433e+00,3.6093123701926482e-16,7.9173360312810592e+00,7.7611940298507465e-01,3.4397548680438872e-02
-4.9416807164998389e+01,-4.4632689654368370e+01,-2.9306683514080788e+01,-7.1457691530566994e+00,-6.2256079317554924e+00,3.7027287286639954e-16,1.0977183891896823e+01,8.0876494023904377e-01,3.2645537253969126e-02
-4.5065430982475249e+01,4.8969870151047637e+01,-2.9280900694485336e+01,-7.1457691530566994e+00,-6.2276079317555357e+00,3.7918455825561352e-16,1.2777631494699285e+01,8.2392026578073085e-01,1.5155325541687081e-02
-4.8335041741083138e+01,-4.5293768087776868e+01,-2.9075202871759622e+01,-7.1457691530566994e+00,-6.2296079317555479e+00,4.6485283442026162e-16,1.3844854852696159e+01,8.3190883190883191e-01,7.9885661281010600e-03
-4.8295626463239827e+01,-4.3777142809110806e+01,-2.8380723273282165e+01,-7.1457691530566994e+00,-6.2316079317555442e+00,9.2908522111695639e-16,1.3645300534725013e+01,8.3042394014962595e-01,-1.4848917592059641e-03
-4.3987245975433481e+01,-4.7510089127124616e+01,-2.8096626320104871e+01,-7.1457691530566994e+00,-6.2336079317554800e+00,1.2318808441834432e-15,1.1051779725579411e+01,8.0931263858093128e-01,-2.1111301568694674e-02
4.0939629108275199e+01,-4.9826900295814767e+01,-2.7930060556312803e+01,-7.1457691530566994e+00,-6.2356079317555579e+00,1.4522410381229293e-15,1.0524245149038858e+01,8.0439121756487031e-01,-4.9214210160609673e-03
-4.9281883763983600e+01,-4.1418904332768712e+01,-2.7857342950520987e+01,-7.1457691530566994e+00,-6.2376079317555178e+00,1.5586584956780747e-15,9.7512778520027688e+00,7.9673321234119787e-01,-7.6580052236724372e-03
-4.1359903001156681e+01,-4.9305549653585153e+01,-2.7844588447788006e+01,-7.1457691530566994e+00,-6.2396079317555637e+00,1.5755115534232157e-15,9.3044365942046650e+00,7.9201331114808649e-01,-4.7199011931113866e-03
-4.1566913082841403e+01,4.8597256768987862e+01,-2.7583702576788944e+01,-7.1457691530566994e+00,-6.2416079317554871e+00,2.0410530718711676e-15,9.3644268795658370e+00,7.9262672811059909e-01,6.1341696251260291e-04
4.1719102205924010e+01,-4.8218581070187909e+01,-2.7463769679704889e+01,-7.1457691530566994e+00,-6.2436079317555402e+00,2.2965288411588218e-15,9.6891230553182126e+00,7.9600570613409416e-01,3.3789780234950717e-03
4.8190993641142640e+01,4.0693565271936194e+01,-2.7027885046561714e+01,-7.1457691530566994e+00,-6.2456079317555488e+00,3.5440970496952684e-15,1.0955172370860288e+01,8.0825565912117181e-01,1.2249952987077650e-02
4.6618692976398499e+01,4.1620047389101465e+01,-2.6663848830745597e+01,-7.1457691530566994e+00,-6.2476079317555122e+00,5.0902127758491408e-15,1.0633344981201153e+01,8.0524344569288386e-01,-3.0122134282879465e-03
4.3456008655671077e+01,-4.4860910274683654e+01,-2.6640824228026688e+01,-7.1457691530566994e+00,-6.2496079317555679e+00,5.1983654265740490e-15,1.1245626286480352e+01,8.1081081081081086e-01,5.5673651179269923e-03
3.8853130030838621e+01,4.8855563652995905e+01,-2.6618353498477745e+01,-7.1457691530566994e+00,-6.2516079317555011e+00,5.3058764191909616e-15,1.0936331058302372e+01,8.0799112097669257e-01,-2.8196898341182886e-03
-3.6818995910773324e+01,4.9184762907242344e+01,-2.6010091243847729e+01,-7.1457691530566994e+00,-6.2536079317555178e+00,9.7286702247324881e-15,1.0779866841731200e+01,8.0651945320715035e-01,-1.4716677695422176e-03
