cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-9.631870741806e+00,9.918072485564e+00,-2.123862281879e+03,-6.908255237316e+00,0.000000000000e+00,5.000000000000e-01,5.000000000000e-01,5.000000000000e-01
9.832761557272e+00,9.800161816467e+00,-2.014713963603e+03,-6.909255237315e+00,0.000000000000e+00,1.359140914230e+00,9.000000000000e-01,4.000000000000e-01
9.764225780332e+00,9.620531064973e+00,-1.957020573310e+03,-6.910255237315e+00,0.000000000000e+00,1.230281271724e+00,8.900000000000e-01,-1.000000000000e-02
-8.935028209611e+00,9.757685439255e+00,-1.923978934322e+03,-6.911255237315e+00,0.000000000000e+00,1.190408056270e+00,8.866666666667e-01,-3.333333333333e-03
-9.670674938421e+00,-8.692768803547e+00,-1.906139802102e+03,-6.912255237315e+00,0.000000000000e+00,1.377858849754e+00,9.012500000000e-01,1.458333333333e-02
-9.476349440350e+00,9.029097436750e+00,-1.884357807722e+03,-6.913255237315e+00,0.000000000000e+00,1.519591784723e+00,9.110000000000e-01,9.750000000000e-03
-9.834479839837e+00,-8.379778001742e+00,-1.880302636006e+03,-6.914255237315e+00,0.000000000000e+00,1.480209160975e+00,9.083333333333e-01,-2.666666666667e-03
-9.241690193440e+00,-8.978138487356e+00,-1.866876395260e+03,-6.915255237315e+00,0.000000000000e+00,1.463287744342e+00,9.071428571429e-01,-1.190476190476e-03
-9.062664840594e+00,-9.124381039221e+00,-1.858474255806e+03,-6.916255237315e+00,0.000000000000e+00,1.415044475850e+00,9.037500000000e-01,-3.392857142857e-03
-9.052581748486e+00,9.339136309510e+00,-1.854643475078e+03,-6.917255237316e+00,0.000000000000e+00,1.506924716158e+00,9.100000000000e-01,6.250000000000e-03
-8.418042521927e+00,-9.594466076607e+00,-1.825640992956e+03,-6.918255237315e+00,0.000000000000e+00,1.350493339413e+00,8.990000000000e-01,-1.100000000000e-02
-8.459251607284e+00,9.699360017872e+00,-1.807099473749e+03,-6.919255237315e+00,0.000000000000e+00,1.280470047364e+00,8.936363636364e-01,-5.363636363636e-03
-8.559945506764e+00,9.578898277551e+00,-1.800721996090e+03,-6.920255237315e+00,0.000000000000e+00,1.298563428782e+00,8.950000000000e-01,1.363636363636e-03
-8.282088906080e+00,-9.585740052284e+00,-1.795239626359e+03,-6.921255237315e+00,0.000000000000e+00,1.365688365595e+00,9.000000000000e-01,5.000000000000e-03
-9.190105255481e+00,-8.568087138376e+00,-1.766864031772e+03,-6.922255237315e+00,0.000000000000e+00,1.356509731722e+00,8.992857142857e-01,-7.142857142858e-04
-9.878258807640e+00,-7.626234360052e+00,-1.743064364113e+03,-6.923255237316e+00,0.000000000000e+00,1.394393961078e+00,9.020000000000e-01,2.714285714286e-03
8.668592486766e+00,9.657121996901e+00,-1.728668097048e+03,-6.924255237315e+00,0.000000000000e+00,1.428484738968e+00,9.043750000000e-01,2.375000000000e-03
-9.694407374691e+00,-7.740399425760e+00,-1.719923535274e+03,-6.925255237316e+00,0.000000000000e+00,1.446507746198e+00,9.055882352941e-01,1.213235294118e-03
8.174192434691e+00,-9.709765118368e+00,-1.695569174032e+03,-6.926255237315e+00,0.000000000000e+00,1.372244750767e+00,9.002777777778e-01,-5.310457516340e-03
-8.002166759805e+00,-9.382415534146e+00,-1.691293716965e+03,-6.927255237315e+00,0.000000000000e+00,1.326425884585e+00,8.968421052632e-01,-3.435672514620e-03
8.236069176707e+00,9.846910231122e+00,-1.687579235052e+03,-6.928255237315e+00,0.000000000000e+00,1.372957562197e+00,9.002500000000e-01,3.407894736842e-03
9.886995327637e+00,-7.970135752038e+00,-1.681833234934e+03,-6.929255237316e+00,0.000000000000e+00,1.334656722730e+00,8.973809523810e-01,-2.869047619048e-03
8.256529252391e+00,9.751694776286e+00,-1.669330484820e+03,-6.930255237315e+00,0.000000000000e+00,1.309709697295e+00,8.954545454545e-01,-1.926406926407e-03
-9.368439309627e+00,-7.832114699146e+00,-1.660387636719e+03,-6.931255237315e+00,0.000000000000e+00,1.335853599335e+00,8.973913043478e-01,1.936758893281e-03
8.265502610594e+00,-9.467249773292e+00,-1.656441358553e+03,-6.932255237315e+00,0.000000000000e+00,1.368854012590e+00,8.997916666667e-01,2.400362318841e-03
9.860613976532e+00,8.009667935004e+00,-1.640879113613e+03,-6.933255237316e+00,0.000000000000e+00,1.397184354258e+00,9.018000000000e-01,2.008333333333e-03
9.028905163949e+00,8.830276673158e+00,-1.621462308892e+03,-6.934255237315e+00,0.000000000000e+00,1.426643411693e+00,9.038461538462e-01,2.046153846154e-03
-8.951239170782e+00,-8.074522707115e+00,-1.612792153223e+03,-6.935255237315e+00,0.000000000000e+00,1.435785047434e+00,9.044444444444e-01,5.982905982906e-04
9.195280443593e+00,8.578234425405e+00,-1.604792135484e+03,-6.936255237315e+00,0.000000000000e+00,1.434087495246e+00,9.042857142857e-01,-1.587301587302e-04
-8.483805573965e+00,-8.530688521349e+00,-1.604089344542e+03,-6.937255237315e+00,0.000000000000e+00,1.417804003934e+00,9.031034482759e-01,-1.182266009852e-03
-9.570001272962e+00,7.475292861021e+00,-1.601315116531e+03,-6.938255237315e+00,0.000000000000e+00,1.421640352023e+00,9.033333333333e-01,2.298850574712e-04
-8.531793010507e+00,8.621518275789e+00,-1.587509102752e+03,-6.939255237315e+00,0.000000000000e+00,1.384487876668e+00,9.006451612903e-01,-2.688172043011e-03
-8.075400289976e+00,9.043299380994e+00,-1.581921899420e+03,-6.940255237315e+00,0.000000000000e+00,1.376134792278e+00,9.000000000000e-01,-6.451612903225e-04
9.120272957024e+00,-8.264473259821e+00,-1.570062893942e+03,-6.941255237315e+00,0.000000000000e+00,1.355981659406e+00,8.984848484848e-01,-1.515151515152e-03
