cmpt_0,logl,logv,weight
2.9632029083564877e+00,-5.3092242706795130e+00,-4.6101660193249021e+00,4.9211152171251742e-05
2.8642419816483602e+00,-5.0208795973518026e+00,-4.6201660193248868e+00,6.5005048836549203e-05
2.4534917388530366e+00,-3.9287493889433880e+00,-4.6301660193248999e+00,1.9182723508737903e-04
2.3988955463578048e+00,-3.7962884538009947e+00,-4.6401660193248961e+00,2.1681752145915405e-04
-2.3828863093372488e+00,-3.7580121142467866e+00,-4.6501660193249013e+00,2.2303582848183843e-04
-2.1760884310402075e+00,-3.2866189624868554e+00,-4.6601660193248975e+00,3.5379780447502695e-04
-2.0904533222354971e+00,-3.1039360788560528e+00,-4.6701660193249008e+00,4.2048485401849638e-04
2.0307590934773785e+00,-2.9809297805038715e+00,-4.6801660193248891e+00,4.7079123508000312e-04
-1.9533166840628147e+00,-2.8266615667524144e+00,-4.6901660193248995e+00,5.4385516570060362e-04
-1.9434997155807423e+00,-2.8075341048645526e+00,-4.7001660193248913e+00,5.4884190652081447e-04
-1.9263053399934609e+00,-2.7742646640770010e+00,-4.7101660193249000e+00,5.6176289989251569e-04
1.9216285466860963e+00,-2.7652666683527984e+00,-4.7201660193248962e+00,5.6120029297917963e-04
1.8843753358841213e+00,-2.6943737358775373e+00,-4.7301660193248987e+00,5.9643531977702233e-04
1.8302511791386948e+00,-2.5938482220026309e+00,-4.7401660193249038e+00,6.5294723147849183e-04
1.7721082994215487e+00,-2.4891224450727059e+00,-4.7501660193248929e+00,7.1782233458907120e-04
1.7663892718569927e+00,-2.4790040624990777e+00,-4.7601660193248980e+00,7.1790731727457927e-04
-1.7426392996230722e+00,-2.4373343969287351e+00,-4.7701660193248987e+00,7.4100705169673751e-04
1.7322405054996941e+00,-2.4192671170802571e+00,-4.7801660193248923e+00,7.4700914066637609e-04
1.7282409335413904e+00,-2.4123468948173477e+00,-4.7901660193248956e+00,7.4471205761382725e-04
1.6620957493060577e+00,-2.3002196725639723e+00,-4.8001660193248954e+00,8.2478674835222219e-04
-1.6377624966346132e+00,-2.2600715303247600e+00,-4.8101660193248987e+00,8.5003116057686691e-04
-1.6284360671500380e+00,-2.2448405450308808e+00,-4.8201660193249003e+00,8.5448931117151124e-04
1.6280822945467763e+00,-2.2442645115416875e+00,-4.8301660193249010e+00,8.4647445769185040e-04
-1.6234314747464640e+00,-2.2367034092320788e+00,-4.8401660193248999e+00,8.4441250855558198e-04
1.5866050731754495e+00,-2.1775963617463763e+00,-4.8501660193248908e+00,8.8691413775153266e-04
1.5617879604503457e+00,-2.1385293493371647e+00,-4.8601660193248915e+00,9.1307241172112086e-04
-1.5546811242967835e+00,-2.1274552317556950e+00,-4.8701660193248957e+00,9.1405368575920621e-04
1.4815060132670912e+00,-2.0163685663066149e+00,-4.8801660193249008e+00,1.0112838814471858e-03
1.4737376365196262e+00,-2.0048898432805666e+00,-4.8901660193249050e+00,1.0127803964014171e-03
-1.4557877015493159e+00,-1.9785974486244595e+00,-4.9001660193248906e+00,1.0294161645853948e-03
1.4283968068180366e+00,-1.9390972514973213e+00,-4.9101660193248922e+00,1.0602365124200888e-03
-1.3921128106072385e+00,-1.8879275713617321e+00,-4.9201660193249026e+00,1.1047970890575235e-03
1.3916073420110084e+00,-1.8872240298028113e+00,-4.9301660193248953e+00,1.0945739818059657e-03
1.3090771583462446e+00,-1.7757800358852789e+00,-4.9401660193248880e+00,1.2114393810823761e-03
1.2971640396710395e+00,-1.7602558055411845e+00,-4.9501660193249064e+00,1.2181501701775809e-03
1.2453897257579165e+00,-1.6944363171450287e+00,-4.9601660193248920e+00,1.2880802640019026e-03
1.2378891563810162e+00,-1.6851233143761915e+00,-4.9701660193249033e+00,1.2871956603219348e-03
-1.2296388471889628e+00,-1.6749443798914401e+00,-4.9801660193248907e+00,1.2874260046218599e-03
-1.2212571305469486e+00,-1.6646730220892230e+00,-4.9901660193248940e+00,1.2877754051171177e-03
1.2163056461019146e+00,-1.6586382450030375e+00,-5.0001660193249080e+00,1.2826791990467245e-03
-1.2088092645251733e+00,-1.6495484516342849e+00,-5.0101660193248980e+00,1.2815122271073677e-03
1.1999494366705779e+00,-1.6388778579163579e+00,-5.0201660193248872e+00,1.2823718893661656e-03
1.1801246416116158e+00,-1.6152856175028116e+00,-5.0301660193248994e+00,1.2999211933817593e-03
1.1253150583453992e+00,-1.5521055229027940e+00,-5.0401660193249072e+00,1.3709223160958629e-03
-1.1101710709079913e+00,-1.5351784359738376e+00,-5.0501660193248954e+00,1.3804517817653109e-03
-1.0875033059224533e+00,-1.5102702528294718e+00,-5.0601660193248881e+00,1.4011859803447358e-03
1.0770831980020910e+00,-1.4989926403425451e+00,-5.0701660193248976e+00,1.4029772971103898e-03
1.0595984284791775e+00,-1.4803129474511107e+00,-5.0801660193248974e+00,1.4152077105155799e-03
-1.0011573515450465e+00,-1.4200965539096853e+00,-5.0901660193249070e+00,1.4880889394308261e-03
-9.8446477865488535e-01,-1.4035239828393458e+00,-5.1001660193248899e+00,1.4979017220248243e-03
-9.5722979959191867e-01,-1.3770829772467319e+00,-5.1101660193248888e+00,1.5227322930726702e-03
9.5240531523800143e-01,-1.3724764748801379e+00,-5.1201660193249117e+00,1.5145415482905327e-03
9.4292195343216978e-01,-1.3634894377655089e+00,-5.1301660193248875e+00,1.5130081506823491e-03
9.3770084110973762e-01,-1.3585799663422942e+00,-5.1401660193248944e+00,1.5053257098864780e-03
9.3179036842142926e-01,-1.3530551779748108e+00,-5.1501660193248933e+00,1.4986041102673488e-03
-9.0407412996264580e-01,-1.3276135488671970e+00,-5.1601660193249019e+00,1.5219245888238038e-03
-9.0205948044980289e-01,-1.3257941857680235e+00,-5.1701660193248982e+00,1.5095250635301445e-03
-8.9533446643779058e-01,-1.3197504360290611e+00,-5.1801660193248997e+00,1.5035648025197208e-03
-8.8205647228641659e-01,-1.3079503427845185e+00,-5.1901660193249066e+00,1.5062737968531540e-03
8.7957412615586250e-01,-1.3057638543347641e+00,-5.2001660193248975e+00,1.4945503693555198e-03
8.5449919669482510e-01,-1.2840229712093902e+00,-5.2101660193248884e+00,1.5122011255396886e-03
8.5345044208089504e-01,-1.2831273611773770e+00,-5.2201660193248891e+00,1.4984959401273766e-03
-8.5283983738953406e-01,-1.2826064267526429e+00,-5.2301660193248987e+00,1.4843587085746218e-03
8.4678070711949605e-01,-1.2774573156082363e+00,-5.2401660193248967e+00,1.4771756855660046e-03
-8.2782350135317762e-01,-1.2615844073296567e+00,-5.2501660193248982e+00,1.4858765274935557e-03
-8.2563580999844499e-01,-1.2597757780092336e+00,-5.2601660193248856e+00,1.4737548763204915e-03
8.2344304301813909e-01,-1.2579677551808259e+00,-5.2701660193249014e+00,1.4617312259923073e-03
7.9035802693926416e-01,-1.2312714380070027e+00,-5.2801660193248923e+00,1.4863416340421655e-03
7.8218969131679827e-01,-1.2248488892344735e+00,-5.2901660193249151e+00,1.4810338192241576e-03
7.7415863898825488e-01,-1.2185993317934130e+00,-5.3001660193248936e+00,1.4754896899251389e-03
-7.7014443652686360e-01,-1.2154997591899797e+00,-5.3101660193248952e+00,1.4653432281678115e-03
7.6766442625651610e-01,-1.2135928683032124e+00,-5.3201660193249030e+00,1.4535319051653241e-03
7.5875835868217933e-01,-1.2067956560683768e+00,-5.3301660193248930e+00,1.4488839980663210e-03
7.5658962119711148e-01,-1.2051524600849337e+00,-5.3401660193248937e+00,1.4368264100728769e-03
-7.2602376601185037e-01,-1.1824937870403545e+00,-5.3501660193248943e+00,1.4551303330874539e-03
-7.2256047360968689e-01,-1.1799853516448671e+00,-5.3601660193249012e+00,1.4442698619436976e-03
-7.1491604664699049e-01,-1.1744910095100205e+00,-5.3701660193248957e+00,1.4377771141150732e-03
7.0629948768352024e-01,-1.1683680157843410e+00,-5.3801660193248910e+00,1.4322136350130752e-03
7.0389479670602895e-01,-1.1666724750482504e+00,-5.3901660193249050e+00,1.4203691244220923e-03
-6.9037312987272748e-01,-1.1572460618584723e+00,-5.4001660193248888e+00,1.4195546530340530e-03
6.6031634258171668e-01,-1.1369473687735869e+00,-5.4101660193248966e+00,1.4342497509910012e-03
-6.5443031111851624e-01,-1.1330780486886785e+00,-5.4201660193249124e+00,1.4254837231608153e-03
6.3090846741474915e-01,-1.1179612797611533e+00,-5.4301660193248917e+00,1.4327962863759515e-03
6.2295152319955949e-01,-1.1129728327616650e+00,-5.4401660193249004e+00,1.4256337146428151e-03
6.1593458038913518e-01,-1.1086262362929096e+00,-5.4501660193248966e+00,1.4175967714135118e-03
-6.0170673909492423e-01,-1.0999640325694631e+00,-5.4601660193248893e+00,1.4157015837012541e-03
-5.9817070955954099e-01,-1.0978426315208218e+00,-5.4701660193248998e+00,1.4045916614674480e-03
-5.9342612773137760e-01,-1.0950158171704680e+00,-5.4801660193248960e+00,1.3945523148139786e-03
-5.9098475057440525e-01,-1.0935700203390855e+00,-5.4901660193248976e+00,1.3826739085668117e-03
-5.8902417303475740e-01,-1.0924132708429795e+00,-5.5001660193248920e+00,1.3705004824894915e-03
-5.8841936340606049e-01,-1.0920572062489362e+00,-5.5101660193248962e+00,1.3573469920141899e-03
-5.8561444499844273e-01,-1.0904106717287565e+00,-5.5201660193248889e+00,1.3460556672773159e-03
5.8303285846875841e-01,-1.0889021896604651e+00,-5.5301660193248949e+00,1.3346740036323324e-03
-5.7979931699257259e-01,-1.0870221566258662e+00,-5.5401660193249169e+00,1.3238803760682563e-03
-5.7526461253110395e-01,-1.0844032198486200e+00,-5.5501660193248945e+00,1.3141447053138214e-03
-5.7414519292584154e-01,-1.0837598839132654e+00,-5.5601660193249005e+00,1.3019060405992601e-03
5.7280476266376856e-01,-1.0829911806984875e+00,-5.5701660193248888e+00,1.2899430614115100e-03
-5.6895498600034333e-01,-1.0807934206806649e+00,-5.5801660193249027e+00,1.2799177767786505e-03
5.6287279790250244e-01,-1.0773514259426351e+00,-5.5901660193248945e+00,1.2715515321858929e-03
-5.5000510678291636e-01,-1.0701913413769830e+00,-5.6001660193248943e+00,1.2679455561211627e-03
5.4906545339990132e-01,-1.0696749686919591e+00,-5.6101660193248959e+00,1.2559776721850723e-03
5.4434708626009987e-01,-1.0670954077932697e+00,-5.6201660193248966e+00,1.2466922598810667e-03
-5.3185856227993300e-01,-1.0603752977685781e+00,-5.6301660193248981e+00,1.2426099448673159e-03
5.2683861203178550e-01,-1.0577179941971286e+00,-5.6401660193248970e+00,1.2335192532015010e-03
5.1095585343240457e-01,-1.0494764747117580e+00,-5.6501660193248862e+00,1.2313520396901687e-03
5.0908794126808143e-01,-1.0485237986056262e+00,-5.6601660193248939e+00,1.2202618429089120e-03
5.0806146203430247e-01,-1.0480017572355560e+00,-5.6701660193248991e+00,1.2087508879919716e-03
-5.0549618400302521e-01,-1.0467017286541496e+00,-5.6801660193248944e+00,1.1982804023193635e-03
5.0161631972236209e-01,-1.0447479987392430e+00,-5.6901660193249093e+00,1.1886774005476603e-03
-4.9775097465307944e-01,-1.0428165490173846e+00,-5.7001660193248957e+00,1.1791250856657649e-03
-4.9721710579057316e-01,-1.0425509577787164e+00,-5.7101660193248964e+00,1.1677026854550172e-03
