cmpt_0,cmpt_1,logl,logv,weight,stepsize,acceptrate,acceptrate_deriv
-4.8389318366016042e+01,4.8116948521922211e+01,-3.0420028768196651e+01,-6.2156079317555371e+00,1.2284150828398645e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
4.7133139812885986e+01,4.6879448544873256e+01,-2.9232272255714186e+01,-6.2176079317555306e+00,4.0208016590942960e-16,5.0000000000000000e-01,5.0000000000000000e-01,5.0000000000000000e-01
-4.3970692915274256e+01,-4.9847675771621681e+01,-2.9227257509662145e+01,-6.2196079317555304e+00,4.0329416453151284e-16,9.4056442227116232e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8770100616626536e+01,4.4704712530411719e+01,-2.9021364616164938e+01,-6.2216079317555382e+00,4.9450592162824378e-16,9.1734180394225509e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.4113873753872845e+01,-4.8981828516449063e+01,-2.8862461345189075e+01,-6.2236079317555433e+00,5.7851379757145888e-16,8.9469255410282134e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.7991171316813599e+01,4.3833601629226195e+01,-2.8258880213999070e+01,-6.2256079317554924e+00,1.0557888885539952e-15,8.7260251623441580e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9174476925633634e+01,4.1823429036169344e+01,-2.7972836419517641e+01,-6.2276079317555357e+00,1.4026061525420075e-15,8.5105788334427891e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.9586176648928522e+01,4.0350717114785517e+01,-2.7571040864932748e+01,-6.2296079317555479e+00,2.0920147528772642e-15,8.3004518933551714e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.6266914104278200e+01,4.3720550142089174e+01,-2.7396763660549755e+01,-6.2316079317555442e+00,2.4853283971933591e-15,8.0955130059035357e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.7834259102137175e+01,4.1686517144340705e+01,-2.7265604710630825e+01,-6.2336079317554800e+00,2.8279830447487025e-15,7.8956340776118998e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.9208556946116403e+01,3.9663544966135213e+01,-2.7109588813250856e+01,-6.2356079317555579e+00,3.2988688926184527e-15,7.7006901776434687e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.0244479156817349e+01,-4.8302031931595302e+01,-2.6899716389873593e+01,-6.2376079317555178e+00,4.0610926916667055e-15,7.5105594597148008e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.4116219922247865e+01,-4.4408186841206749e+01,-2.6727834027010140e+01,-6.2396079317555637e+00,4.8130666404122987e-15,7.3251230859379108e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5955009067382001e+01,4.2325647831074861e+01,-2.6652811046768470e+01,-6.2416079317554871e+00,5.1776817443080016e-15,7.1442651525427204e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5000915629238406e+01,-4.3206640113671568e+01,-2.6595675220162637e+01,-6.2436079317555402e+00,5.4711741332712438e-15,6.9678726174334350e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5105379495558715e+01,-4.2843736477805763e+01,-2.6486599507341964e+01,-6.2456079317555488e+00,6.0895181422803791e-15,6.7958352295335443e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.5948080494403513e+01,-4.1450269921466997e+01,-2.6282949321665082e+01,-6.2476079317555122e+00,7.4500380628819568e-15,6.6280454598753201e-23,0.0000000000000000e+00,0.0000000000000000e+00
-3.7443854962489134e+01,4.9167123814834682e+01,-2.6233436126627833e+01,-6.2496079317555679e+00,7.8125571991528776e-15,6.4643984343907061e-23,0.0000000000000000e+00,0.0000000000000000e+00
3.9492789946860327e+01,-4.7315994862571216e+01,-2.6128613571360290e+01,-6.2516079317555011e+00,8.6586159760577223e-15,6.3047918683616096e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.7565275684947643e+01,3.8466995667429181e+01,-2.5847020466567237e+01,-6.2536079317555178e+00,1.1451812295838113e-14,6.1491260024886301e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.6184972007791089e+01,4.0005607815477148e+01,-2.5803695913482869e+01,-6.2556079317555247e+00,1.1934967654779477e-14,5.9973035405382426e-23,0.0000000000000000e+00,0.0000000000000000e+00
3.6511730964595344e+01,-4.7691033833366234e+01,-2.5173900463883172e+01,-6.2576079317555537e+00,2.2359873688382723e-14,5.8492295885294858e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.5698077126444083e+01,3.8751069600897814e+01,-2.5085992674592095e+01,-6.2596079317555580e+00,2.4365684965027100e-14,5.7048115954221406e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.1997326996158655e+01,-4.2697316142385816e+01,-2.5070375836177387e+01,-6.2616079317554982e+00,2.4699737769985532e-14,5.5639592952693090e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.5396678170426611e+01,3.9032712217708990e+01,-2.5058249493150687e+01,-6.2636079317555389e+00,2.4951126463211395e-14,5.4265846507982640e-23,0.0000000000000000e+00,0.0000000000000000e+00
-3.5380570079788356e+01,-4.7974755769712331e+01,-2.4903004084923609e+01,-6.2656079317554987e+00,2.9083307327527152e-14,5.2926017983842878e-23,0.0000000000000000e+00,0.0000000000000000e+00
4.4586799824811706e+01,-3.9500902363502618e+01,-2.4877714463995780e+01,-6.2676079317555704e+00,2.9768595607526203e-14,5.1619269943831091e-23,0.0000000000000000e+00,0.0000000000000000e+00
-4.8331673466303030e+01,-3.4753824326517488e+01,-2.4855089260110695e+01,-6.2696079317555302e+00,3.0388954483942900e-14,5.0344785627884010e-23,0.0000000000000000e+00,0.0000000000000000e+00
